compassSystemfullSystemErrorCrossCorrelation,compassFilterfullSystemErrorCrossCorrelation,fullSystemfullSystemErrorCrossCorrelation,gyroFilterfullSystemErrorCrossCorrelation,gyroSystemfullSystemErrorCrossCorrelation,fullSystemErrorAutoCorrelation
-0.0409795632461152,-0.00316787546554614,-0.0272301699135694,-0.0240622944436057,-0.0692754073825199,-0.00459727491813412
-0.0408425369532779,-0.00170452517860602,-0.0265488203029755,-0.0248442951300863,-0.0701557658498392,-0.00451983686486658
-0.0405650559176658,-8.72815986180545e-05,-0.0259299818062573,-0.025842700202702,-0.0710721885438293,-0.00446240231290825
-0.0401528608428115,0.00167969968502543,-0.0254782406328949,-0.0271579403097348,-0.0721707485832407,-0.00438935023495495
-0.0395606893528436,0.00363033332048092,-0.0248232354325799,-0.0284535687503324,-0.0730571988803734,-0.00431011450356371
-0.0388778433500972,0.00568486062210078,-0.0237763541496991,-0.02946121475348,-0.0735908485366963,-0.00421492687954534
-0.0381350416074773,0.00781703539892728,-0.022863988743016,-0.0306810241399944,-0.0742853305668437,-0.00412315628948688
-0.0373068628146679,0.010047829735413,-0.0219301283258184,-0.031977958053793,-0.0749896942039153,-0.0040191155400992
-0.0363923217823218,0.0123790618439931,-0.0204011931008219,-0.0327802549385134,-0.0751500952485783,-0.00389053330789985
-0.0354037369857646,0.0148006057032554,-0.019062194820955,-0.0338628005184936,-0.0755209189394788,-0.00377752150857954
-0.0343442349668684,0.0173113151023634,-0.0180293354181101,-0.0353406505260604,-0.0762152753367056,-0.00367997337889392
-0.0333823683488715,0.0197672555384218,-0.0172577421305635,-0.0370249976760013,-0.0773027187117675,-0.00356643473787699
-0.0323733700695032,0.0222885306372648,-0.0160675599966323,-0.0383560906393541,-0.0780099639731426,-0.00345422243533124
-0.0311725582806892,0.0250101038005336,-0.0145901165022743,-0.0396002203077452,-0.0784110972869842,-0.00334399548176277
-0.0299643589283473,0.027772925410058,-0.0133089852724879,-0.0410819106930701,-0.0790640394479851,-0.00325023638080373
-0.0286676568347113,0.0306410670317356,-0.0120150424541602,-0.0426561094890141,-0.0797467837837758,-0.00314791963007467
-0.0273755151834588,0.0335410050447535,-0.0107426029552309,-0.0442836080014136,-0.0805289370910032,-0.00304586831355534
-0.0259942468796258,0.036546238183811,-0.00914091206011238,-0.0456871502431438,-0.0810397203417129,-0.0029201590784526
-0.0244908688390361,0.039693864558233,-0.00727622198766247,-0.0469700865451159,-0.0813010196756555,-0.00279886334361176
-0.022993768494676,0.0428715330555341,-0.00581709510541779,-0.0486886281562745,-0.0820328614853289,-0.00268995983320305
-0.0213751224904887,0.0461848175701951,-0.00425119425718939,-0.0504360118375189,-0.0826738954149602,-0.0025879953256143
-0.0196365483924248,0.0496367994492175,-0.00229070921964844,-0.051927508685042,-0.0829425863308383,-0.00248166008610237
-0.0178481790603005,0.0531639225820462,5.13376611966773e-05,-0.053112584923578,-0.0828683204495714,-0.0023794153090161
-0.0159294959079749,0.0568313302199905,0.00221089758166012,-0.0546204326398895,-0.0829943186701192,-0.00226333627928657
-0.0139052365458545,0.0606213899404143,0.00453098554862663,-0.0560904043939315,-0.0830262954155582,-0.0021206256367025
-0.011768859393799,0.0645386197949327,0.00734535061928909,-0.0571932691774626,-0.0826066650562487,-0.00196128886870741
-0.00953763624446375,0.0685730179580527,0.00976529769624384,-0.0588077202534935,-0.082576857442161,-0.00183828058132869
-0.00706744920639072,0.0728419031843909,0.0123038224929977,-0.0605380806903538,-0.0824247414036238,-0.0016877504157102
-0.00447103659046531,0.0772476845429212,0.0155591745008548,-0.0616885100488227,-0.0816362354889861,-0.00148428517214987
-0.00177368370974104,0.0817691142126153,0.0186187241093389,-0.0631503901147101,-0.0810813649628212,-0.00128403165165634
0.000995533576185283,0.0863864265016413,0.0216747636607449,-0.0647116628445344,-0.0805671230399249,-0.00110419973810037
0.00369712487008655,0.0909795128890047,0.0246751277300064,-0.0663043851673137,-0.0802591768473836,-0.000907204847732958
0.00619232469346441,0.0954293837151324,0.0275949164164818,-0.0678344672970914,-0.0802211609459066,-0.000712697974189983
0.00877221451290617,0.0999870718660532,0.0306291118031368,-0.069357960061877,-0.0801305762891259,-0.000511767396736624
0.0115133786644687,0.104720771961313,0.0335768113104028,-0.0711439606496112,-0.0801464486347478,-0.00031620060534416
0.0144274214565355,0.109637373447185,0.0366718281210134,-0.0729655453292902,-0.0800491457755145,-0.000111045940554634
0.0174894629620082,0.114714143660551,0.0401257767267193,-0.0745883669374702,-0.0796073937464306,8.19301078861047e-05
0.0207131082320952,0.119956147981741,0.0434818442985748,-0.0764743036956393,-0.0792835190617812,0.000269389817341497
0.0242176831442131,0.125470831869669,0.047232283597363,-0.0782385482749045,-0.0785204274101748,0.000454043329227716
0.0277991431669631,0.131094317858307,0.0516117782286269,-0.0794825396234436,-0.0771341175984292,0.000581622130994219
0.0315195421405536,0.136876076094008,0.055808597154932,-0.0810674789318,-0.0759510868582376,0.0006901992393458
0.0353457681901221,0.142792198511805,0.0600148992567223,-0.0827772992436491,-0.0748345246507337,0.000821637852433404
0.039238222284309,0.148814946171894,0.0640240804267315,-0.0847908657326895,-0.0739765106534053,0.00094836788360096
0.0432675057257126,0.1549985617499,0.0681639693585956,-0.0868345923809102,-0.073023561055639,0.00107836128102333
0.0473514356084966,0.161272871031542,0.072588958083153,-0.0886839129515075,-0.0718887684509225,0.00123733180433711
0.0515740290325734,0.167711318886307,0.077136192872006,-0.0905751260039064,-0.0706805430922291,0.00140593225972095
0.0559649020682887,0.174337666298795,0.0819047171140223,-0.0924329491821741,-0.069266880833311,0.00157588892761851
0.0605305893986952,0.181157797718437,0.0872335479549032,-0.0939242497552186,-0.0672974606859498,0.00173707406013688
0.0652772560840406,0.188169756733779,0.092699860995968,-0.0954698957274169,-0.0652420243360601,0.00193793759366859
