compassSystemErrorCrossCorrelation,compassFilterErrorCrossCorrelation,fullSystemErrorCrossCorrelation,gyroFilterErrorCrossCorrelation,gyroSystemErrorCrossCorrelation,errorAutoCorrelation
-0.830970115181682,-0.826513278999006,-0.8360724931872,-0.0095592141881954,-1.48602517818624,-0.00984199084939642
-0.235856084681483,-0.230784543310958,-0.216153261294156,0.0146312820167998,-0.281753578026826,0.0155673090127157
0.329928857497534,0.335300287046784,0.373661745122771,0.0383614580759864,0.856587282350374,0.040640902498929
0.823606867796726,0.828894431063595,0.890549382034152,0.0616549509705558,1.84423003372551,0.0653130177558329
1.2207144760032,1.22550317615727,1.30816275616067,0.0826595800033988,2.63123712019765,0.0876271350033545
1.52125101322952,1.52514149271579,1.62546615252713,0.100324659811336,3.21754298270384,0.106424041638659
1.69865172165644,1.70126198988205,1.81464081573967,0.113378825857623,3.55040561660703,0.120330490687193
1.73957943302539,1.74058107516807,1.86285751114808,0.122276435980009,3.60525064608704,0.12970726144275
1.64735068304913,1.64650626927786,1.77233831071834,0.125832041440482,3.38906197459017,0.133293149328462
1.44666534086603,1.44386595921948,1.56727030015248,0.123404340932998,2.95209731854456,0.130398505726285
1.14330273541966,1.13856256725091,1.25346803579042,0.114905468539506,2.30761368076426,0.12092225080871
0.764313599122546,0.757792560724536,0.856838305795593,0.0990457450710554,1.51006121782196,0.103595494496344
0.333790091703552,0.325786489617337,0.401620278877077,0.0758337892597418,0.609400195651337,0.078485761338119
-0.117002766155675,-0.126059463703,-0.0784276149264388,0.0476318487765607,-0.328196183332763,0.0480495221083134
-0.563016543745131,-0.572593466866656,-0.555176366653277,0.0174171002133782,-1.24910745848033,0.015389981593804
-0.991529335601882,-1.00103111262571,-1.01537569153628,-0.0143445789105699,-2.12730150346884,-0.0188777705310375
-1.35872046041738,-1.36749635082118,-1.41304245343085,-0.045546102609663,-2.87371882959105,-0.0524843555747993
-1.63786075006542,-1.64525856223128,-1.71969514967634,-0.0744365874450569,-3.43423596849534,-0.0835075350122462
-1.81906647573172,-1.82448851419328,-1.92346995389759,-0.0989814397043117,-3.78849845964858,-0.109746956544332
-1.92114206081988,-1.92411057998836,-2.04058590038602,-0.116475320397658,-3.97316475752038,-0.128352285927236
-1.91722109709058,-1.91737156985773,-2.04366003966157,-0.126288469803844,-3.93664458349705,-0.138583708965291
-1.81150219911958,-1.80863780772355,-1.93601235792144,-0.127374550197895,-3.68888068817865,-0.139319593618548
-1.60814993248181,-1.6022597286196,-1.7240310964457,-0.121771367826105,-3.24266149989112,-0.132569554775737
-1.33088135241157,-1.32216501480843,-1.43320784914182,-0.111042834333384,-2.64859741145235,-0.119920471513027
-0.993904344755161,-0.982758502909887,-1.08053199606892,-0.09777349315903,-1.938755070708,-0.104034981321007
-0.605885795412225,-0.592880834259607,-0.674990175815364,-0.0821093415557568,-1.13123762863658,-0.0851870609588097
-0.200885707308097,-0.186758713570826,-0.249858955325524,-0.0631002417546976,-0.293479537717169,-0.0625977756235876
0.191062640619534,0.205451865729175,0.163887924834214,-0.0415639408949616,0.513450160696316,-0.0372950178667287
0.537524533542167,0.551240965568377,0.532750257586968,-0.0184907079814093,1.22392599404202,-0.0105054137414035
0.829190235789837,0.841300560344895,0.845211348300244,0.00391078795534808,1.81762012137487,0.0153141942541725
1.05272291564728,1.062350808333,1.08611884402842,0.0237680356954267,2.26718019124536,0.0380512384384353
1.19088585010673,1.19726554767125,1.23738371600962,0.0401181683383757,2.53886148843352,0.0565254077287362
1.24127660495525,1.24381818272858,1.29617915020275,0.0523609674741723,2.62900647377963,0.0699558935011038
1.21080383268788,1.20914484880331,1.26963811905678,0.0604932702534745,2.55312610246396,0.0782118553997388
1.11337642726546,1.10741900600011,1.17495046080864,0.0675314548085279,2.34321529901363,0.084246937486666
0.920435203421442,0.91032294407054,0.983958284934894,0.0736353408643515,1.94345224317341,0.0882292695294216
0.663282562376093,0.649453258339879,0.726376827040868,0.07692356870099,1.41503983618981,0.0883520712533148
0.379855658553578,0.363030150705148,0.439693311117909,0.0766631604127595,0.833684483846732,0.084033310529366
0.0808543035276151,0.0619764886898554,0.13438286178997,0.0724063731001158,0.221188784430488,0.0750459841950702
-0.223174353332803,-0.242989655991058,-0.178016018229237,0.0649736377618212,-0.3999295304052,0.062483817411039
-0.506597148625522,-0.526115099060052,-0.473414174732603,0.0527009243274477,-0.97975685784267,0.0449936084148242
-0.76519217558116,-0.783150891965453,-0.746232900014718,0.0369179919507343,-1.50807099600086,0.0242374299404087
-0.982477918105603,-0.997656221516219,-0.978143702461447,0.0195125190547729,-1.95029815140796,0.00243247211348641
-1.13368345834748,-1.14497167616054,-1.14291181080001,0.00205986536052986,-2.2562751706255,-0.0185373188096927
-1.20242100527972,-1.20890204553569,-1.22280171620134,-0.0138996706656517,-2.39301690498185,-0.0368628015484371
-1.19599078774514,-1.1970257962066,-1.22555631928868,-0.0285305230820896,-2.37652593947912,-0.0525002293455489
-1.1279725881417,-1.12325658793009,-1.16406458247499,-0.0408079945449008,-2.23414275459492,-0.0642977121820108
-0.989991063313562,-0.979563885130133,-1.03165329258284,-0.0520894074527084,-1.95179839177558,-0.0735776649155205
